"","O","NA.","NA..1","elev"
"97",-15.1485004425049,-117.95835815,50.62494375,973.06787109375
"98",-14.9881000518799,-117.87502485,50.62494375,441
"99",-16.646900177002,-117.79169155,50.62494375,1830.90148925781
"100",-17.8603992462158,-117.70835825,50.62494375,1648.8095703125
"101",-17.0618000030518,-117.62502495,50.62494375,1245.93176269531
"102",-16.309700012207,-117.54169165,50.62494375,917.424011230469
"103",-16.8462009429932,-117.45835835,50.62494375,1273.08154296875
"104",-17.9727993011475,-117.37502505,50.62494375,2139.95434570312
"105",-18.4246997833252,-117.29169175,50.62494375,1457.03344726562
"106",-18.5533008575439,-117.20835845,50.62494375,1904.96789550781
"107",-18.5013008117676,-117.12502515,50.62494375,2160.26391601562
"108",-16.5580997467041,-117.04169185,50.62494375,589.329467773438
"109",-18.7208003997803,-116.95835855,50.62494375,2634.15673828125
"110",-19.1214008331299,-116.87502525,50.62494375,1978.90856933594
"111",-18.4606990814209,-116.79169195,50.62494375,1529.02661132812
"112",-18.7912998199463,-116.70835865,50.62494375,1667.11682128906
"113",-19.6350002288818,-116.62502535,50.62494375,2206.66796875
"114",-20.0344009399414,-116.54169205,50.62494375,2628.54370117188
"115",-19.5585994720459,-116.45835875,50.62494375,2180.04736328125
"116",-19.2611999511719,-116.37502545,50.62494375,2365.201171875
"117",-18.2199001312256,-116.29169215,50.62494375,1273.25598144531
"118",-17.4050998687744,-116.20835885,50.62494375,1040.26086425781
"119",-16.9962997436523,-116.12502555,50.62494375,982.46240234375
"120",-18.0706005096436,-116.04169225,50.62494375,1392.52673339844
"121",-15.052300453186,-117.95835815,50.54161045,688.24560546875
"122",-16.1387004852295,-117.87502485,50.54161045,1292.51440429688
"123",-17.2451000213623,-117.79169155,50.54161045,1729.21765136719
"124",-17.5270004272461,-117.70835825,50.54161045,1873.35900878906
"125",-17.9284000396729,-117.62502495,50.54161045,1765.03393554688
"126",-17.6280002593994,-117.54169165,50.54161045,2028.14855957031
"127",-17.2322006225586,-117.45835835,50.54161045,1808.85083007812
